epochs,fold1,fold2,fold3,fold4,fold5,fold6,avg
1,0.50336754322052,0.5107533931732178,0.5062212944030762,0.5120503902435303,0.5007901787757874,0.5019059181213379,0.5058481196562449
2,0.5263330936431885,0.5160696506500244,0.5318040251731873,0.5085069537162781,0.5088698267936707,0.5240628123283386,0.5192743937174479
3,0.568916916847229,0.5769959092140198,0.5657081007957458,0.5147739052772522,0.5299758315086365,0.5758273601531982,0.5553663372993469
4,0.6340843439102173,0.6647192239761353,0.65082848072052,0.5675979256629944,0.5848299264907837,0.6553099155426025,0.6262283027172089
5,0.6943280696868896,0.7162249684333801,0.7024495601654053,0.6161487102508545,0.6586249470710754,0.69927579164505,0.6811753412087759
6,0.7317679524421692,0.7298928499221802,0.7377111315727234,0.6825826168060303,0.7116954326629639,0.7022227048873901,0.7159787813822428
7,0.7524064779281616,0.7610365152359009,0.7574077248573303,0.6911719441413879,0.7386696338653564,0.7343698740005493,0.7391770283381144
8,0.7549813985824585,0.7741087675094604,0.7776457667350769,0.7144384980201721,0.7527560591697693,0.7575761079788208,0.7552510996659597
9,0.7650399804115295,0.7752519249916077,0.7868222594261169,0.7527332305908203,0.7557821869850159,0.7655236721038818,0.7668588757514954
10,0.7800333499908447,0.7960239052772522,0.7979883551597595,0.7604832053184509,0.7600411176681519,0.7838536500930786,0.779737263917923
11,0.7875653505325317,0.8010708093643188,0.8093570470809937,0.7675693035125732,0.784942090511322,0.786301851272583,0.7894677420457205
12,0.8122832179069519,0.8226892948150635,0.8098366856575012,0.7862826585769653,0.7992098331451416,0.7935868501663208,0.8039814233779907
13,0.82420414686203,0.8252871036529541,0.8261110782623291,0.7978689670562744,0.8084084391593933,0.8008885383605957,0.8137947122255961
14,0.8348501920700073,0.8388826847076416,0.8301277756690979,0.8106051683425903,0.8162850737571716,0.7970805764198303,0.8213052451610565
15,0.842543363571167,0.8496034145355225,0.8475452065467834,0.8216297626495361,0.827326238155365,0.8110578060150146,0.8332842985788981
16,0.8452131152153015,0.8523944020271301,0.8473560810089111,0.8335357904434204,0.8312970995903015,0.8121930360794067,0.8369982540607452
17,0.8540472388267517,0.8468326926231384,0.84404057264328,0.8425633907318115,0.8329353332519531,0.8306536078453064,0.8418454726537069
18,0.8559296131134033,0.8468573093414307,0.8552940487861633,0.8390493392944336,0.8365249633789062,0.8394481539726257,0.8455172379811605
19,0.862067461013794,0.8489696979522705,0.8489031791687012,0.8499327301979065,0.8401217460632324,0.8392085433006287,0.8482005596160889
20,0.8551814556121826,0.8491061329841614,0.8636759519577026,0.8546748757362366,0.8323959708213806,0.8343380093574524,0.8482287327448527
