learning_rate,epsilon_rate,max_val_auc
0.0001,0.00000001,0.7918900847434998
0.0001,0.0000001,0.7823131680488586
0.0001,0.000001,0.7865246037642161
0.0001,0.00001,0.7846748034159342
0.0001,0.0001,0.7744001050790151
0.0001,0.001,0.7032372951507568
0.0001,0.01,0.5678393940130869
0.0001,0.1,0.5044591277837753
0.001,0.00000001,0.7816511789957682
0.001,0.0000001,0.7969321310520172
0.001,0.000001,0.7957556545734406
0.001,0.00001,0.7969251374403635
0.001,0.0001,0.7907490432262421
0.001,0.001,0.7938481668631235
0.001,0.01,0.7338786721229553
0.001,0.1,0.5743750631809235
0.01,0.00000001,0.7493021587530772
0.01,0.0000001,0.7030337154865265
0.01,0.000001,0.707489937543869
0.01,0.00001,0.7436089913050333
0.01,0.0001,0.7465538680553436
0.01,0.001,0.7623995045820872
0.01,0.01,0.7903381884098053
0.01,0.1,0.7404708564281464
0.1,0.00000001,0.5
0.1,0.0000001,0.5009448130925497
0.1,0.000001,0.5
0.1,0.00001,0.5
0.1,0.0001,0.5002202292283376
0.1,0.001,0.5001898308595022
0.1,0.01,0.7466073135534922
0.1,0.1,0.7962859372297922
