epochs,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10,avg
1,0.5491937398910522,0.5530190467834473,0.5427759885787964,0.5439541935920715,0.5537077784538269,0.5169433951377869,0.5209548473358154,0.5325236916542053,0.5369829535484314,0.5093790292739868,0.5359434664249421
2,0.6722490787506104,0.6476680636405945,0.6484091281890869,0.6500586271286011,0.6689574718475342,0.6287044286727905,0.6557847261428833,0.6579604744911194,0.6586778163909912,0.5548696517944336,0.6443339467048645
3,0.7104396224021912,0.7199763655662537,0.7252333760261536,0.7238576412200928,0.7159139513969421,0.7021734714508057,0.6968677043914795,0.7155659198760986,0.7075096964836121,0.66152423620224,0.7079061985015869
4,0.7394324541091919,0.7582646608352661,0.7537780404090881,0.7529666423797607,0.7454522848129272,0.7427101731300354,0.7531601190567017,0.7626599073410034,0.7462394833564758,0.7180325984954834,0.7472696363925934
5,0.7731761336326599,0.7772902846336365,0.7667896151542664,0.775923490524292,0.7756251096725464,0.7703284025192261,0.7756401896476746,0.7813438177108765,0.7670827507972717,0.7559782266616821,0.7719178020954132
6,0.7939280271530151,0.7903674840927124,0.7867580652236938,0.793720006942749,0.7950936555862427,0.7766865491867065,0.7861118912696838,0.7856062054634094,0.784048318862915,0.7750126719474792,0.7867332875728608
7,0.7946895360946655,0.7924559116363525,0.8020029067993164,0.8016318678855896,0.809131383895874,0.7908210158348083,0.8025771975517273,0.7992773056030273,0.800239086151123,0.7916123270988464,0.7984438538551331
8,0.8100016713142395,0.8042084574699402,0.8088805675506592,0.813210129737854,0.8118475675582886,0.8039876222610474,0.7990408539772034,0.8069034814834595,0.8084380626678467,0.7957636117935181,0.8062282025814056
9,0.8190604448318481,0.8194687962532043,0.8240029215812683,0.8304468393325806,0.8263309001922607,0.8061987161636353,0.807472825050354,0.8214141130447388,0.8185062408447266,0.8175315856933594,0.8190433382987976
10,0.8200485706329346,0.828058660030365,0.8401914238929749,0.8454610705375671,0.8326883316040039,0.8185080885887146,0.8256436586380005,0.8337106108665466,0.8206709027290344,0.8211609721183777,0.828614228963852
